hold_type,hold_value,threshold,stop_loss,profit_target,event_date,stock_ret,market_ret,excess_ret,n_trades,ticker
intraday,5,0.5,0.01,0.1,2022-08-08,-0.009999999999999898,-0.0021105235068652473,-0.00788947649313465,1,ORLA
intraday,5,0.5,0.01,0.1,2023-08-03,-0.010000000000000009,-0.008675008874689416,-0.0013249911253105928,1,ORLA
intraday,5,0.5,0.01,0.1,2023-11-13,0.010067114093959662,0.005399713210252788,0.004667400883706874,1,ORLA
intraday,5,0.5,0.01,0.1,2024-05-14,-0.010000000000000009,0.007511933514633862,-0.01751193351463387,1,ORLA
intraday,5,0.5,0.01,0.1,2024-08-12,-0.010000000000000009,0.01026969600954275,-0.02026969600954276,1,ORLA
intraday,5,0.5,0.01,0.1,2024-11-12,0.09999999999999987,-0.0003013207894604353,0.1003013207894603,1,ORLA
intraday,5,0.5,0.01,0.1,2025-03-18,-0.010000000000000009,-0.0003908817937920972,-0.009609118206207912,1,ORLA
intraday,5,0.5,0.01,0.2,2022-03-18,-0.01000000000000012,-0.0009817351598173651,-0.009018264840182755,1,ORLA
intraday,5,0.5,0.01,0.2,2022-08-08,-0.009999999999999898,-0.0021105235068652473,-0.00788947649313465,1,ORLA
intraday,5,0.5,0.01,0.2,2023-08-03,-0.010000000000000009,-0.008675008874689416,-0.0013249911253105928,1,ORLA
intraday,5,0.5,0.01,0.2,2023-11-13,0.010067114093959662,0.005399713210252788,0.004667400883706874,1,ORLA
intraday,5,0.5,0.01,0.2,2024-05-14,-0.010000000000000009,0.007511933514633862,-0.01751193351463387,1,ORLA
intraday,5,0.5,0.01,0.2,2024-08-12,-0.010000000000000009,0.01026969600954275,-0.02026969600954276,1,ORLA
intraday,5,0.5,0.01,0.2,2024-11-12,0.10805084745762705,-0.0003013207894604353,0.10835216824708749,1,ORLA
intraday,5,0.5,0.01,0.2,2025-03-18,-0.010000000000000009,-0.0003908817937920972,-0.009609118206207912,1,ORLA
intraday,5,0.5,0.03,0.01,2022-03-18,-0.030000000000000027,-0.0009817351598173651,-0.02901826484018266,1,ORLA
intraday,5,0.5,0.03,0.01,2022-08-08,0.002958579881656931,-0.0021105235068652473,0.005069103388522178,1,ORLA
intraday,5,0.5,0.03,0.01,2023-08-03,-0.014412416851441234,-0.008675008874689416,-0.005737407976751818,1,ORLA
intraday,5,0.5,0.03,0.01,2023-11-13,0.009999999999999898,0.005399713210252788,0.00460028678974711,1,ORLA
intraday,5,0.5,0.03,0.01,2024-05-14,0.010000000000000009,0.007511933514633862,0.002488066485366147,1,ORLA
intraday,5,0.5,0.03,0.01,2024-08-12,-0.030000000000000027,0.01026969600954275,-0.04026969600954278,1,ORLA
intraday,5,0.5,0.03,0.01,2024-11-12,0.010000000000000009,-0.0003013207894604353,0.010301320789460444,1,ORLA
intraday,5,0.5,0.03,0.01,2025-03-18,0.010000000000000009,-0.0003908817937920972,0.010390881793792106,1,ORLA
intraday,5,0.5,0.03,0.03,2022-03-18,-0.030000000000000027,-0.0009817351598173651,-0.02901826484018266,1,ORLA
intraday,5,0.5,0.03,0.03,2022-08-08,0.002958579881656931,-0.0021105235068652473,0.005069103388522178,1,ORLA
intraday,5,0.5,0.03,0.03,2023-08-03,-0.014412416851441234,-0.008675008874689416,-0.005737407976751818,1,ORLA
